contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,date,option_type,filename
SPXW250626C06170000,2025-06-26 19:59:47+00:00,6141.02001953125,16.59000015258789,6170.0,0.03,0.0,0.05,-0.120000005,-80.0,14176.0,0.0,0.0395603857421874,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06175000,2025-06-26 19:58:33+00:00,6141.02001953125,16.59000015258789,6175.0,0.03,0.0,0.05,-0.120000005,-80.0,9672.0,0.0,0.0454197021484375,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06180000,2025-06-26 19:59:30+00:00,6141.02001953125,16.59000015258789,6180.0,0.03,0.0,0.05,-0.120000005,-80.0,7356.0,0.0,0.0510348803710937,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06190000,2025-06-26 19:59:08+00:00,6141.02001953125,16.59000015258789,6190.0,0.04,0.1,0.15,-0.030000001,-42.857143,9953.0,0.0,0.07227490234375,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250505P05605000,2025-05-05 19:58:53+00:00,5650.3798828125,23.63999938964844,5605.0,0.05,0.0,0.05,-6.16,-99.19485,15151.0,343.0,0.0639742041015625,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05610000,2025-05-05 19:54:57+00:00,5650.3798828125,23.63999938964844,5610.0,0.03,0.0,0.05,-6.7,-99.55424,18602.0,2116.0,0.057626611328125,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05615000,2025-05-05 19:58:28+00:00,5650.3798828125,23.63999938964844,5615.0,0.03,0.0,0.05,-7.0699997,-99.57747,15991.0,310.0,0.0512790185546875,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05620000,2025-05-05 19:59:26+00:00,5650.3798828125,23.63999938964844,5620.0,0.05,0.0,0.05,-7.66,-99.351494,26210.0,1730.0,0.04493142578125,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05625000,2025-05-05 19:59:29+00:00,5650.3798828125,23.63999938964844,5625.0,0.03,0.0,0.05,-8.360001,-99.64243,23924.0,1082.0,0.0384617639160156,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05630000,2025-05-05 19:59:04+00:00,5650.3798828125,23.63999938964844,5630.0,0.03,0.0,0.05,-9.400001,-99.68187,32453.0,572.0,0.0317479638671875,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05635000,2025-05-05 19:59:57+00:00,5650.3798828125,23.63999938964844,5635.0,0.03,0.0,0.05,-9.97,-99.7,33654.0,2367.0,0.0250341638183593,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05640000,2025-05-05 19:59:59+00:00,5650.3798828125,23.63999938964844,5640.0,0.05,0.0,0.05,-11.15,-99.55357,44862.0,891.0,0.0179541564941406,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05645000,2025-05-05 19:59:58+00:00,5650.3798828125,23.63999938964844,5645.0,0.05,0.0,0.05,-11.78,-99.57735,44684.0,454.0,0.0103858728027343,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05650000,2025-05-05 19:59:59+00:00,5650.3798828125,23.63999938964844,5650.0,0.5,0.5,0.55,-12.48,-96.14793,91545.0,1970.0,0.0061439718627929,False,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05655000,2025-05-05 19:59:59+00:00,5650.3798828125,23.63999938964844,5655.0,5.3,4.9,5.1,-9.0,-62.93706,56740.0,575.0,0.0169165692138671,True,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
SPXW250505P05660000,2025-05-05 19:59:59+00:00,5650.3798828125,23.63999938964844,5660.0,9.9,9.2,10.2,-6.0,-37.73585,67786.0,706.0,0.0292455474853515,True,REGULAR,USD,2025-05-05,put,spx_0dte_puts_20250505_2055.csv
