date,spx_close,strike,option_type,last_price,bid,ask,volume,moneyness,moneyness_category,intrinsic_value,time_value,is_itm,itm_discount,spread_cost,bid_ask_spread,last_vs_mid,effective_liquidity_cost,market_maker_profit_per_contract
2025-03-20,5662.89013671875,5685.0,put,22.9,20.1,24.8,16415.0,0.003904342614363542,ATM,22.10986328125,0.7901367187499986,True,0.0,2.3499999999999996,4.699999999999999,-0.020044543429843905,2.3499999999999996,234.99999999999997
2025-03-20,5662.89013671875,5690.0,put,28.2,23.9,29.8,17338.0,0.004787283988694557,ATM,27.10986328125,1.0901367187499993,True,0.0,2.950000000000001,5.900000000000002,-0.05027932960893847,2.950000000000001,295.0000000000001
2025-03-20,5662.89013671875,5695.0,put,31.92,30.1,34.8,17507.0,0.0056702253630255715,OTM_Call/ITM_Put,32.10986328125,-0.1898632812499983,True,0.1898632812499983,2.349999999999998,4.699999999999996,0.016332819722650264,2.539863281249996,253.9863281249996
2025-03-20,5662.89013671875,5700.0,put,36.5,34.0,39.8,23341.0,0.0065531667373565855,OTM_Call/ITM_Put,37.10986328125,-0.60986328125,True,0.60986328125,2.8999999999999986,5.799999999999997,0.010840108401083973,3.5098632812499986,350.9863281249999
2025-03-20,5662.89013671875,5705.0,put,43.29,39.0,44.8,7262.0,0.0074361081116876004,OTM_Call/ITM_Put,42.10986328125,1.1801367187499991,True,0.0,2.8999999999999986,5.799999999999997,-0.03317422434367543,2.8999999999999986,289.9999999999999
2025-03-20,5662.89013671875,5710.0,put,44.3,45.1,49.8,4561.0,0.008319049486018614,OTM_Call/ITM_Put,47.10986328125,-2.809863281250003,True,2.809863281250003,2.349999999999998,4.699999999999996,0.06638566912539527,5.159863281250001,515.9863281250001
2025-07-10,6280.4599609375,6235.0,put,0.03,0.0,0.05,28517.0,-0.007238317132860772,ITM_Call/OTM_Put,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-07-10,6280.4599609375,6240.0,put,0.03,0.0,0.05,34176.0,-0.0064421970984845575,ITM_Call/OTM_Put,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-07-10,6280.4599609375,6245.0,put,0.03,0.0,0.05,35055.0,-0.005646077064108343,ITM_Call/OTM_Put,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-07-10,6280.4599609375,6250.0,put,0.03,0.0,0.05,49231.0,-0.004849957029732129,ATM,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-07-10,6280.4599609375,6255.0,put,0.03,0.0,0.05,44169.0,-0.004053836995355915,ATM,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-07-10,6280.4599609375,6260.0,put,0.05,0.0,0.05,62645.0,-0.0032577169609797002,ATM,0.0,0.05,False,0.0,0.025,0.05,-1.0,0.025,2.5
2025-07-10,6280.4599609375,6265.0,put,0.05,0.0,0.05,57897.0,-0.002461596926603486,ATM,0.0,0.05,False,0.0,0.025,0.05,-1.0,0.025,2.5
2025-07-10,6280.4599609375,6270.0,put,0.02,0.0,0.05,68933.0,-0.0016654768922272718,ATM,0.0,0.02,False,0.0,0.025,0.05,0.20000000000000004,0.025,2.5
2025-07-10,6280.4599609375,6275.0,put,0.05,0.0,0.05,89462.0,-0.0008693568578510575,ATM,0.0,0.05,False,0.0,0.025,0.05,-1.0,0.025,2.5
2025-07-10,6280.4599609375,6280.0,put,0.7,0.6,0.7,101802.0,-7.323682347484315e-05,ATM,0.0,0.7,False,0.0,0.04999999999999999,0.09999999999999998,-0.076923076923077,0.04999999999999999,4.999999999999999
2025-07-10,6280.4599609375,6285.0,put,5.2,5.0,5.6,64794.0,0.0007228832109013711,ATM,4.5400390625,0.6599609375000002,True,0.0,0.2999999999999998,0.5999999999999996,0.01886792452830182,0.2999999999999998,29.999999999999982
2025-07-10,6280.4599609375,6290.0,put,12.0,9.6,10.6,20226.0,0.0015190032452775855,ATM,9.5400390625,2.4599609375,True,0.0,0.5,1.0,-0.18811881188118815,0.5,50.0
2025-07-10,6280.4599609375,6295.0,put,14.78,13.6,15.9,6394.0,0.0023151232796537998,ATM,14.5400390625,0.23996093749999936,True,0.0,1.1500000000000004,2.3000000000000007,-0.0020338983050847024,1.1500000000000004,115.00000000000003
2025-07-10,6280.4599609375,6300.0,put,21.4,18.0,21.1,6699.0,0.003111243314030014,ATM,19.5400390625,1.8599609374999986,True,0.0,1.5500000000000007,3.1000000000000014,-0.09462915601023007,1.5500000000000007,155.00000000000006
2025-07-10,6280.4599609375,6305.0,put,26.5,24.0,25.9,1378.0,0.003907363348406228,ATM,24.5400390625,1.9599609375,True,0.0,0.9499999999999993,1.8999999999999986,-0.062124248496994015,0.9499999999999993,94.99999999999993
2025-07-10,6280.4599609375,6310.0,put,31.6,27.5,31.3,423.0,0.0047034833827824425,ATM,29.5400390625,2.0599609375000014,True,0.0,1.9000000000000004,3.8000000000000007,-0.07482993197278921,1.9000000000000004,190.00000000000003
2025-07-10,6280.4599609375,6315.0,put,36.7,33.3,35.9,263.0,0.005499603417158657,OTM_Call/ITM_Put,34.5400390625,2.159960937500003,True,0.0,1.3000000000000007,2.6000000000000014,-0.060693641618497364,1.3000000000000007,130.00000000000006
2025-07-10,6280.4599609375,6320.0,put,44.36,37.3,40.9,205.0,0.006295723451534872,OTM_Call/ITM_Put,39.5400390625,4.819960937499999,True,0.0,1.8000000000000007,3.6000000000000014,-0.134526854219949,1.8000000000000007,180.00000000000006
2025-07-10,6280.4599609375,6325.0,put,38.44,42.3,49.0,99.0,0.007091843485911085,OTM_Call/ITM_Put,44.5400390625,-6.100039062500002,True,6.100039062500002,3.3500000000000014,6.700000000000003,0.1579408543263965,9.450039062500004,945.0039062500003
2025-07-10,6280.4599609375,6330.0,put,46.12,48.0,51.5,27.0,0.0078879635202873,OTM_Call/ITM_Put,49.5400390625,-3.4200390625000026,True,3.4200390625000026,1.75,3.5,0.07296482412060307,5.170039062500003,517.0039062500002
2025-08-16,6449.7998046875,6400.0,call,52.12,48.3,53.4,537.0,-0.007721139600535687,ITM_Call/OTM_Put,49.7998046875,2.3201953124999974,True,0.0,2.5500000000000007,5.100000000000001,-0.024975417895771942,2.5500000000000007,255.00000000000006
2025-08-16,6449.7998046875,6405.0,call,49.74,43.9,49.1,220.0,-0.006945921740848606,ITM_Call/OTM_Put,44.7998046875,4.940195312500002,True,0.0,2.6000000000000014,5.200000000000003,-0.06967741935483875,2.6000000000000014,260.0000000000001
2025-08-16,6449.7998046875,6410.0,call,41.79,39.7,44.8,509.0,-0.006170703881161524,ITM_Call/OTM_Put,39.7998046875,1.9901953124999991,True,0.0,2.549999999999997,5.099999999999994,0.010887573964497061,2.549999999999997,254.99999999999972
2025-08-16,6449.7998046875,6415.0,call,39.17,35.5,40.6,120.0,-0.0053954860214744434,ITM_Call/OTM_Put,34.7998046875,4.370195312500002,True,0.0,2.5500000000000007,5.100000000000001,-0.029434954007884484,2.5500000000000007,255.00000000000006
2025-08-16,6449.7998046875,6420.0,call,34.15,31.4,36.6,336.0,-0.004620268161787362,ATM,29.7998046875,4.350195312499999,True,0.0,2.6000000000000014,5.200000000000003,-0.004411764705882311,2.6000000000000014,260.0000000000001
2025-08-16,6449.7998046875,6425.0,call,31.14,30.3,30.7,740.0,-0.00384505030210028,ATM,24.7998046875,6.340195312500001,True,0.0,0.1999999999999993,0.3999999999999986,-0.020983606557377067,0.1999999999999993,19.99999999999993
2025-08-16,6449.7998046875,6430.0,call,26.1,26.6,26.9,756.0,-0.0030698324424131987,ATM,19.7998046875,6.300195312500001,True,0.0,0.14999999999999858,0.29999999999999716,0.024299065420560696,0.14999999999999858,14.999999999999858
2025-08-16,6449.7998046875,6435.0,call,23.65,23.0,23.4,2422.0,-0.0022946145827261173,ATM,14.7998046875,8.850195312499999,True,0.0,0.1999999999999993,0.3999999999999986,-0.0193965517241379,0.1999999999999993,19.99999999999993
2025-08-16,6449.7998046875,6440.0,call,20.8,19.7,20.1,954.0,-0.0015193967230390357,ATM,9.7998046875,11.0001953125,True,0.0,0.20000000000000107,0.40000000000000213,-0.045226130653266444,0.20000000000000107,20.000000000000107
2025-08-16,6449.7998046875,6445.0,call,17.9,16.7,17.1,1686.0,-0.0007441788633519542,ATM,4.7998046875,13.100195312499999,True,0.0,0.20000000000000107,0.40000000000000213,-0.0591715976331361,0.20000000000000107,20.000000000000107
2025-08-16,6449.7998046875,6450.0,call,14.83,13.9,14.3,7914.0,3.1038996335127286e-05,ATM,0.0,14.83,False,0.0,0.20000000000000018,0.40000000000000036,-0.05177304964538997,0.20000000000000018,20.000000000000018
2025-08-16,6449.7998046875,6455.0,call,12.41,11.5,11.8,5431.0,0.0008062568560222088,ATM,0.0,12.41,False,0.0,0.15000000000000036,0.3000000000000007,-0.0652360515021459,0.15000000000000036,15.000000000000036
